CommentID||RecipeID||Classification
26714463||1015181||1, 5
16803754||1015181||1, 5
16585135||1015181||1, 5
16117338||1015181||1, 5
16118044||1015181||1, 5
31044909||1015181||1, 5
23805063||1015181||4, 5
17391205||1015181||1, 5
17582394||1015181||3, 5
16690686||1015181||4, 5
17097426||1015181||1, 5
16530700||1015181||1, 5
30344688||1015181||5
18317247||1015181||1, 5
16029033||1015181||2, 5
17442622||1015181||1, 5
17106625||1015181||3, 5
20550889||1015181||1, 5
20449620||1015181||1, 5
18312358||1015181||1, 5
29927659||1015181||5
16468926||1015181||5
17021109||1015181||1, 5
16118020||1015181||4, 5
20221780||1015181||1, 5
24638058||1015181||5
16005924||1015181||1, 5
21940452||1015181||1, 5
30114440||1015181||4, 5
16040083||1015181||1, 5
25361885||1015181||1, 5
21230271||1015181||1, 5, 4
103917366||1015181||1, 5
29595902||1015181||4, 5
16516214||1015181||4, 5
19830349||1015181||3, 5
25584593||1015181||1, 5
106689977||1015181||1, 5
21034475||1015181||1, 5
24808284||1015181||5
16671538||1015181||1, 5
25346747||1015181||1, 5
24085210||1015181||1, 5
16302928||1015181||1, 5
16513171||1015181||4, 5
16674905||1015181||4, 5
17376790||1015181||1, 2, 5
30624295||1015181||1, 5
29850495||1015181||1, 3, 5
29932448||1015181||1, 5
22668687||1015181||1, 5
29769736||1015181||5
30011868||1015181||3, 5
103845973||1015181||5
111482610||1015181||1, 5
16108881||1015181||1, 4, 5
29583445||1015181||1, 5
17097459||1015181||1, 3, 5
16313576||1015181||1, 5
17245589||1015181||1, 5
20450303||1015181||5
29287570||1015181||1, 5
25497897||1015181||4, 5
16099671||1015181||1, 5
101457957||1015181||1, 5
25985658||1015181||4, 5
30385292||1015181||5
30659519||1015181||5
15934058||1015181||1, 5
23824967||1015181||1, 5
29473581||1015181||1, 5
30261286||1015181||5
30434996||1015181||1, 5
19304659||1015181||1, 5
25555496||1015181||5
27594950||1015181||1, 5
16052757||1015181||1, 5, 4
24278100||1015181||1, 5
30456440||1015181||1, 5
100915580||1015181||2, 3
102780090||1015181||1, 5
17078920||1015181||1, 5
29080314||1015181||5
30659705||1015181||5
31430617||1015181||1, 5
16130145||1015181||1, 2, 5
24755353||1015181||1, 5
106519872||1015181||1, 5
27072052||1015181||1, 5
31003789||1015181||1, 5
105928384||1015181||1, 3, 5
16139024||1015181||4
18312373||1015181||1, 5
26078281||1015181||1, 5
30158930||1015181||3, 4
120708131||1015181||1, 5
16212126||1015181||3, 5
25355605||1015181||5
29901252||1015181||1, 5
106510586||1015181||1, 5
130609107||1015181||3, 5
20990914||1015181||1, 5
21179134||1015181||1, 5
22761768||1015181||5
30044414||1015181||5
30386497||1015181||1, 5
30438145||1015181||1, 5
30681965||1015181||1, 5
30934204||1015181||1, 5
120783013||1015181||3, 4
17131043||1015181||5
21753386||1015181||1, 5
28532321||1015181||1, 5
29871037||1015181||1, 5
30254135||1015181||1, 5
100674963||1015181||1, 5
108132642||1015181||1, 5
16034677||1015181||1, 5
106473548||1015181||1, 5
130604759||1015181||4, 5
15096283||1015181||1, 5
20346530||1015181||1, 5
22419315||1015181||1, 5
24635479||1015181||1, 2, 5
29624292||1015181||1, 4, 5
29941209||1015181||1, 4
108193170||1015181||1, 4, 5
112450599||1015181||5
115085709||1015181||5
116514962||1015181||4, 5
116632298||1015181||1, 5
130468600||1015181||1, 5
16038821||1015181||1, 5
30227974||1015181||1, 4, 5
30671286||1015181||1, 5
30984032||1015181||1, 5
31216566||1015181||2, 3
103885126||1015181||1, 5
106880157||1015181||5
108979122||1015181||1, 5
112487809||1015181||4, 5
120683010||1015181||1, 5
121324738||1015181||1, 4, 5
16057347||1015181||1, 5
18143530||1015181||1, 5
18164604||1015181||1, 5
18629877||1015181||4, 5
24069149||1015181||1, 5
24852919||1015181||1, 5
30246837||1015181||1, 5
30464507||1015181||1, 5
31207881||1015181||5
110987711||1015181||1, 5
116993462||1015181||4, 5
118203992||1015181||5
16031719||1015181||1, 5
16071176||1015181||1, 5
17141530||1015181||4, 5
17603242||1015181||1, 3
17618390||1015181||1, 5
20478451||1015181||1, 2, 5
21765966||1015181||1, 5
24105285||1015181||1, 2, 3, 5
24264708||1015181||1, 2
25540954||1015181||1, 5
30620748||1015181||4
100421650||1015181||1, 5
104334721||1015181||3, 5
111068746||1015181||1, 5
111131949||1015181||1, 5
116514986||1015181||4, 5
120646024||1015181||1, 5
120710900||1015181||1, 5
120782985||1015181||1, 5
130431842||1015181||1, 3, 5
130845692||1015181||1, 5
16047770||1015181||1, 5
17410540||1015181||1, 5
17968836||1015181||1, 5
18392686||1015181||1, 5
20510915||1015181||5
21494863||1015181||1, 5
24800412||1015181||4, 5
24888793||1015181||1, 5
25287753||1015181||3, 5
25452778||1015181||3, 5
28601458||1015181||1, 5
29746243||1015181||5
30137236||1015181||1, 5
30238364||1015181||1, 5
30254909||1015181||1, 5
30515243||1015181||3, 5
100040240||1015181||1, 4, 5
101876058||1015181||1, 5
103596330||1015181||1, 5, 4
105165359||1015181||5
109167601||1015181||1, 5
110068778||1015181||1, 3, 5
110255539||1015181||1, 5
110767298||1015181||1, 2, 5
111204886||1015181||1, 4, 5
113338273||1015181||1, 5
114713781||1015181||1, 2
116345395||1015181||1, 5
116416471||1015181||1, 5
117911667||1015181||5
120707477||1015181||1, 5
121085240||1015181||1, 2, 5
121208490||1015181||1, 5
126642059||1015181||1, 5
128477703||1015181||1, 5
130568546||1015181||1, 5
130603146||1015181||1, 5, 3
130680580||1015181||1, 5
130937702||1015181||1, 5
131124213||1015181||5
16097272||1015181||4, 5
17141628||1015181||1, 5
17740325||1015181||1, 5
19304696||1015181||5
19414181||1015181||1, 2
20028205||1015181||5
20450934||1015181||1, 5
21597890||1015181||2, 5
24275234||1015181||1, 5
24287749||1015181||5
24874716||1015181||1, 2, 5
24915631||1015181||1, 5
25465978||1015181||1, 5
25466572||1015181||1, 5
25512885||1015181||1, 5
25545770||1015181||1, 5
25564311||1015181||5
25844809||1015181||1, 5
25923037||1015181||1, 2, 5
29261161||1015181||3, 5
29582039||1015181||1, 5
29885719||1015181||1, 5
30189604||1015181||5
30244963||1015181||1, 5
30247651||1015181||1, 5
30876307||1015181||5
30938557||1015181||1, 5
31183970||1015181||5
100015470||1015181||1, 5
100111672||1015181||4, 5
103562001||1015181||1, 5
104587390||1015181||1, 5
104833829||1015181||1, 5
105914037||1015181||1, 5
105980325||1015181||1, 5
106132713||1015181||1, 5
107442516||1015181||1, 5
108114490||1015181||1, 2, 5
108407690||1015181||5
108797798||1015181||1, 5
109901523||1015181||5
114088111||1015181||1, 5
114217745||1015181||5, 1
115120663||1015181||1, 5
115901142||1015181||1, 3, 5
116067301||1015181||1, 3
116390832||1015181||4, 5
116532193||1015181||5
116897254||1015181||1, 2, 5
117596644||1015181||5, 1
117698196||1015181||1, 5
119347679||1015181||5
119981770||1015181||1, 5
120232058||1015181||1, 5
120590170||1015181||1, 2, 3
120669100||1015181||5
120691181||1015181||1, 5
120691858||1015181||1, 5
121239308||1015181||1, 2, 5
121320028||1015181||1, 5
121913799||1015181||1, 5
122864740||1015181||1, 5
123125954||1015181||3, 4
123130543||1015181||1, 5
124476867||1015181||1, 5
124771700||1015181||1, 5
126020434||1015181||1, 5
128157425||1015181||4, 5
128157545||1015181||4, 5
128238992||1015181||1, 5
128300649||1015181||4, 5
128478170||1015181||1, 5
129688844||1015181||1, 5
129691521||1015181||1, 5
129750387||1015181||5
130180737||1015181||1, 5
130209425||1015181||1, 5
130604916||1015181||1, 4, 5
130605800||1015181||4, 5
130611877||1015181||1, 5, 4
130623097||1015181||4, 5
130629216||1015181||1, 4, 5
130654041||1015181||3, 4
130683121||1015181||1, 5
131901959||1015181||1, 5
15867843||1015181||1, 5
17318560||1015181||5
20458363||1015181||1, 5
20463589||1015181||1, 5
20502579||1015181||1, 5
22543729||1015181||1, 5
22603379||1015181||1, 5
22975921||1015181||1, 3, 5
23883583||1015181||1, 5
24266480||1015181||1, 5
24316696||1015181||1, 5
24384480||1015181||1, 2
24810246||1015181||1, 5
25371267||1015181||1, 5
25491472||1015181||5
25493697||1015181||1, 5
25520801||1015181||1, 5
25584955||1015181||5
25700244||1015181||5
26075227||1015181||5
28424660||1015181||1, 5
28548973||1015181||1, 2, 5
28926711||1015181||5
29097721||1015181||1, 5
29157911||1015181||1, 3
29171575||1015181||5
29239596||1015181||1, 5
29283852||1015181||1, 5
29364251||1015181||None
29770122||1015181||1, 5
29781739||1015181||1, 4, 5
29972285||1015181||1, 5
30023859||1015181||1, 5
30569074||1015181||1, 5
30631899||1015181||1, 5
30649139||1015181||1, 5
30764324||1015181||1, 2, 5
