"CommentID","UserDisplayName","CommentBody","CreateDate","Recommendations"
"16254870","Roseanne L.","I like to use the paper bag method for dusting meat.<br/>Put flour and seasonings and meat, chicken, etc in paper bag, fold closed and shake. One less utensil to clean and even coating.","1509375373","2881"
"20608779","Eric","Tablespoon of herbs de Provence and 2 Tablespoons tomato paste will give it some flavor.","1508887811","2229"
"25283261","Tom","After browning the beef sauté the onions. Then add about 1 to 2 tablespoons of tomato paste and continue to cook until the color starts to go from bright red to rust. Then deglaze with the wine and vinegar. Add one tall spike of fresh rosemary (leaves removed and chopped) and three to four sprigs of thyme. Follow the recipe and finish with two cups of peas two to three minutes before serving.","1513733313","2016"
"30164135","Nancy","Okay People, this is ""Old Fashioned Beef Stew"" and it's exactly how my Mom made it and How I've made it for 45 years.  Flouring your meat before browning actually adds flavor to the stew.  There are tons of beef stew recipe out there, but this is authentic ""Old Fashioned""!","1547563142","833"
"29112874","Linda","If you're complaining about blandness, red wine, a bit of Worcestershire or even some harissa can help liven it up. Also, homemade peasant bread or even some store bought parker house rolls are a wonderful accompaniment.   This is exactly my mother's go-to recipe for beef stew. She's gone now, but I would give anything to eat this with her one more time.","1540241700","753"
"16272018","Lisa Conn","This was delicious.  I cubed a chuck roast which was cheap and flavorful (removing all excess fat).  I added some worchestershire sauce and ketchup at the end to add umami (flavor). After cooking I separated the solids and boiled the liquid a bit to reduce and concentrate, then whisked in a slurry of flour and water to thicken before recombining with meat and veggies.  This stew is a one pot meal.  It doesn't require rice or noodles because of the large amount of potatoes.","1509375790","488"
"30862238","Jack Wilson","I think many of the negative comments were from people who have no idea what an old time stew tasted like. They probably have McDonald's taste buds and there is no changing that. This was a wonderful stew. With that said I also added to it. My choice was worcester sauce from my Brittish background. Adapting a recipe to fit your own taste is a normal procedure. Perhaps if some of these who commented threw in a Quarte pounder they would have felt differently.","1551514066","458"
"29650151","Bill","Julia Childs recommends just browning the meat in oil without flour.  Then make the stew as shown here. She thickens the gravy at the end by adding miller's butter (half butter and half flour) rolled into little balls, one at a time, until it's as thick as you like.  I agree with her.","1544124425","425"
"20011608","Bob davison","Two great Irish cooks rated this the best beef stew they ever tasted.  It's a keeper in our home.","1508886312","419"
"21456999","Marjorie Och","Excellent. Added thyme. Sauteed the chopped onions. Used olive oil. Substituted gold potatoes for the bakers. Added about 1/2 t. Worcestershire sauce and some ketchup...good additions. Should include a beef bone in the cooking.","1508865831","408"
"22397694","Diana","Sautéed onion and a shallot, added to deglazed pot with browned meat and a few sprigs of thyme. Added 2 T tomato paste, more pepper, shot of Worcestershire sauce and peas at the last...as my mother always did. Excellent stew. I will make it again. ","1506866931","333"
"21490195","Patrick","For this stew (and all others I've made), I like to use beef shank - lots more marbling than chuck, and just melts in one's mouth after an hour or so of slow simmering. I also throw the bones in (along with marrow) to add flavor. If you're making a big pot, shank is about half the price of chuck!","1508866413","308"
"21528717","MT","This was delicious, though I made a few alterations. Like others, I added more herbs (thyme, rosemary, herbs de Provence, Basil, ground all spice). I chopped up the onion & along with a few table spoons of oil and tomato paste,I microwaved it with the herbs in a bowl for about 1 minute on high (a trick I learned from Cooks Illustrated slow cooker recipe book) & then I added this mixture to the pot at the start of step 2 above. Cooked the meat much longer, a/b 5 hrs before adding veggies.","1508866048","255"
"30293974","Fast Marty","save money and use beef chuck instead of ribeyes/filets.  get an intact chuck roast from the butcher, not pre-cubed ""beef for stew"".  Cut the meat up yourself into small cubes.  Ribeyes are for grilling, or broiling, not stew.  The collagen breaks down nicely and the chuck meat transforms wonderfully. Of course, if you're wealthy, do as you wish.","1548268097","177"
"21202734","Sheerah","Loved this. Doubled the wine & reduced the beef broth. Sprinkled in Herbes de Provence as per another review's suggestion. I'm normally a high-intensity spice seeker but found this dish flavorful and tender in its classic-ness.","1508858786","145"
"21528520","Mike","Too many recipes call for stew meat, which is often too-lean mystery cut. Chuck or some other fatter cut is much more flavorful and won't end up dry and tasteless. Want to really jazz up a stew? Add rutabaga and a couple of large oxtails (shred before serving).","1508865711","118"
